temporada,anio,segmento,Tipo_viajero,duracion_dias,mes_inicio,es_evento_ciudad,es_semana_santa,es_navidad,es_puente,personas
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Grupo,7,12,1,0,0,0,6
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Pareja,7,12,1,0,0,0,7
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,económico,Solo,7,12,1,0,0,0,1
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Familia,7,12,1,0,0,0,5
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Grupo,7,12,1,0,0,0,4
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
Aguinaldo Boyacense,2020,precio-calidad,Pareja,7,12,1,0,0,0,10
